Donor_id,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Made Donation in March 2007
424,4,8,2000,34,1
155,4,9,2250,40,1
94,2,5,1250,26,0
719,6,17,4250,70,0
676,0,8,2000,59,1
271,2,3,750,14,1
274,2,10,2500,64,0
535,4,9,2250,46,1
653,4,5,1250,23,0
493,4,8,2000,40,1
279,2,12,3000,82,1
564,11,24,6000,64,0
656,2,7,1750,46,1
386,4,11,2750,61,0
182,1,7,1750,57,1
212,2,11,2750,79,1
667,2,3,750,16,1
308,4,5,1250,26,1
421,2,6,1500,41,1
172,2,5,1250,33,1
662,2,4,1000,26,0
284,2,5,1250,34,0
731,4,8,2000,46,1
544,4,8,2000,48,1
145,2,2,500,10,1
747,4,5,1250,28,0
168,2,2,500,10,1
35,2,11,2750,88,1
81,2,3,750,19,1
594,2,5,1250,37,1
3,9,5,1250,19,0
687,2,2,500,11,1
29,2,9,2250,74,0
151,4,3,750,16,1
213,4,3,750,16,1
135,4,2,500,9,1
472,6,3,750,14,0
51,2,2,500,11,1
705,2,2,500,11,1
651,2,2,500,11,0
556,2,7,1750,58,1
79,2,1,250,2,1
477,2,1,250,2,0
90,2,1,250,2,1
341,2,1,250,2,0
456,2,1,250,2,1
692,2,1,250,2,0
275,2,1,250,2,1
227,2,1,250,2,0
550,2,1,250,2,1
247,2,1,250,2,1
293,2,1,250,2,1
587,2,1,250,2,0
291,2,1,250,2,1
392,2,1,250,2,1
220,2,1,250,2,1
410,2,1,250,2,0
88,2,1,250,2,0
589,2,1,250,2,1
61,2,1,250,2,1
359,11,10,2500,35,0
671,11,4,1000,16,1
399,4,6,1500,41,1
631,2,3,750,22,0
432,4,4,1000,26,1
565,10,4,1000,16,0
618,2,4,1000,35,0
586,4,12,3000,88,1
59,13,8,2000,26,1
725,4,5,1250,34,0
367,4,5,1250,35,1
605,4,7,1750,52,0
296,4,7,1750,52,0
238,2,2,500,14,0
655,2,5,1250,47,1
314,9,8,2000,38,1
609,4,6,1500,47,0
113,9,9,2250,45,1
596,4,6,1500,52,1
242,4,7,1750,58,0
6,6,2,500,11,1
533,11,9,2250,38,0
19,2,2,500,16,0
434,2,7,1750,76,1
553,11,6,1500,27,1
517,11,3,750,14,1
239,4,1,250,4,0
689,4,1,250,4,0
562,4,1,250,4,1
111,4,1,250,4,1
580,4,1,250,4,0
379,4,1,250,4,1
684,4,1,250,4,1
252,4,1,250,4,0
415,4,1,250,4,1
282,4,1,250,4,0
746,4,3,750,24,1
217,4,1,250,4,1
150,4,1,250,4,0
540,4,1,250,4,1
709,10,8,2000,39,1
31,14,7,1750,26,0
615,8,10,2500,63,0
494,4,2,500,14,1
195,2,4,1000,43,1
717,8,9,2250,58,0
62,8,8,2000,52,1
649,11,22,5500,98,0
264,4,3,750,25,1
414,11,17,4250,79,1
706,9,2,500,11,1
693,4,5,1250,46,0
219,7,12,3000,86,1
555,11,2,500,11,0
452,11,2,500,11,1
519,2,6,1500,75,1
400,11,8,2000,41,1
70,11,3,750,16,1
669,12,13,3250,59,0
115,2,3,750,35,1
256,16,8,2000,28,0
269,11,7,1750,37,1
620,4,3,750,28,0
205,12,12,3000,58,1
578,4,4,1000,41,0
257,11,14,3500,73,1
498,4,5,1250,58,0
38,4,4,1000,43,1
268,3,2,500,23,0
707,11,8,2000,46,1
71,4,7,1750,82,1
702,13,4,1000,21,0
480,16,7,1750,28,1
11,7,2,500,16,1
215,4,5,1250,58,1
670,4,5,1250,58,0
120,4,4,1000,46,1
465,14,13,3250,57,1
385,4,3,750,34,1
457,14,18,4500,78,0
36,11,8,2000,48,1
76,14,16,4000,70,0
647,14,4,1000,22,1
44,14,5,1250,26,1
678,8,2,500,16,0
43,11,2,500,14,1
598,4,2,500,23,0
616,14,3,750,19,1
634,16,12,3000,50,1
727,11,4,1000,28,1
102,11,5,1250,35,0
304,2,4,1000,70,1
133,14,5,1250,28,1
567,14,2,500,14,1
362,14,2,500,14,1
114,14,2,500,14,0
575,14,6,1500,34,1
394,11,5,1250,37,1
549,4,5,1250,74,0
384,11,3,750,23,0
17,11,5,1250,38,1
121,12,9,2250,60,0
72,9,1,250,9,1
581,9,1,250,9,0
261,4,2,500,29,1
216,11,2,500,17,0
153,14,4,1000,26,1
626,11,9,2250,72,1
658,11,5,1250,41,0
458,9,5,1250,51,1
324,14,8,2000,50,1
253,16,7,1750,38,0
186,14,2,500,16,0
171,14,16,4000,98,1
260,14,4,1000,28,1
21,16,7,1750,39,0
32,14,7,1750,47,1
20,16,6,1500,35,1
413,11,3,750,28,0
128,11,1,250,11,1
142,9,3,750,34,0
185,14,4,1000,30,0
451,23,38,9500,98,1
469,11,1,250,11,1
77,11,1,250,11,0
159,11,1,250,11,1
152,11,1,250,11,1
551,11,1,250,11,1
584,11,2,500,21,0
488,11,5,1250,50,1
26,11,2,500,21,0
349,16,4,1000,28,1
723,14,3,750,26,0
735,9,2,500,26,1
572,14,6,1500,51,1
711,11,2,500,24,0
668,4,3,750,71,1
194,21,13,3250,57,1
201,11,6,1500,71,0
390,14,2,500,21,1
325,23,15,3750,57,0
326,14,4,1000,38,0
137,11,2,500,26,1
608,16,5,1250,40,1
318,4,2,500,51,1
714,14,4,1000,40,0
73,11,3,750,40,1
679,14,5,1250,50,0
25,14,1,250,14,1
18,14,1,250,14,0
225,14,1,250,14,1
122,14,1,250,14,0
708,14,1,250,14,1
428,14,7,1750,72,0
166,14,1,250,14,1
234,9,3,750,52,1
704,14,7,1750,73,0
716,11,4,1000,58,1
599,11,4,1000,59,0
206,4,2,500,59,1
713,11,4,1000,61,0
167,16,4,1000,40,1
315,16,10,2500,89,0
601,21,2,500,21,1
277,21,3,750,26,0
724,16,8,2000,76,0
648,21,3,750,26,1
37,18,2,500,23,0
193,23,5,1250,33,0
743,16,3,750,34,1
126,14,5,1250,64,1
354,14,3,750,41,1
438,16,1,250,16,0
184,16,1,250,16,0
236,16,1,250,16,1
15,16,1,250,16,1
163,16,1,250,16,0
347,16,1,250,16,1
412,16,4,1000,45,0
87,16,1,250,16,1
614,16,1,250,16,0
364,16,1,250,16,0
468,21,2,500,23,1
558,21,2,500,23,0
177,14,4,1000,57,1
593,16,5,1250,60,0
378,23,2,500,23,0
516,14,5,1250,74,1
265,23,3,750,28,0
543,16,3,750,40,1
52,9,2,500,52,0
266,9,2,500,52,1
505,16,7,1750,87,1
343,14,2,500,35,0
628,16,7,1750,93,1
327,21,2,500,25,0
481,14,3,750,52,1
522,18,8,2000,95,0
435,16,3,750,46,1
381,11,3,750,76,0
420,23,12,3000,86,0
42,21,3,750,35,1
78,23,2,500,26,0
538,23,2,500,26,1
180,23,3,750,33,1
210,23,2,500,28,0
27,21,1,250,21,1
251,21,1,250,21,0
208,21,1,250,21,1
660,21,1,250,21,0
518,21,1,250,21,0
602,21,1,250,21,1
339,21,1,250,21,0
431,21,1,250,21,1
525,21,1,250,21,1
116,21,1,250,21,0
302,21,1,250,21,1
69,21,5,1250,60,0
595,23,4,1000,45,1
333,21,4,1000,52,0
370,22,1,250,22,1
742,11,2,500,70,0
645,23,5,1250,58,1
604,23,3,750,40,1
739,23,3,750,41,0
112,14,3,750,83,1
292,21,2,500,35,0
281,26,5,1250,49,1
514,23,6,1500,70,0
117,23,1,250,23,1
388,23,1,250,23,0
554,23,1,250,23,1
110,23,1,250,23,0
588,23,1,250,23,1
576,23,1,250,23,0
141,23,1,250,23,1
475,23,4,1000,53,1
547,21,6,1500,86,0
305,21,3,750,64,1
560,16,2,500,70,1
287,21,3,750,70,1
295,23,4,1000,87,1
597,23,3,750,89,1
673,35,3,750,64,1
350,74,1,250,74,1
39,2,43,10750,86,1
677,6,22,5500,28,1
149,2,44,11000,98,0
732,2,11,2750,23,0
348,2,21,5250,52,1
190,4,4,1000,4,1
374,2,11,2750,26,0
104,2,11,2750,28,0
407,3,14,3500,35,1
408,4,6,1500,14,0
226,3,5,1250,12,1
157,4,33,8250,98,1
495,3,10,2500,33,1
280,4,10,2500,28,1
107,2,11,2750,40,1
641,2,11,2750,41,1
250,4,13,3250,39,1
258,1,10,2500,43,1
699,4,9,2250,28,0
322,2,5,1250,16,1
376,2,6,1500,22,1
366,4,5,1250,16,1
0,2,4,1000,14,1
124,2,4,1000,14,0
259,2,6,1500,26,0
470,4,5,1250,16,1
140,2,7,1750,32,1
489,2,6,1500,26,1
170,2,8,2000,38,1
542,2,2,500,4,1
355,2,6,1500,28,1
24,4,2,500,4,1
106,1,14,3500,95,0
255,2,3,750,11,0
737,2,12,3000,70,1
329,4,7,1750,32,1
398,4,4,1000,16,0
521,2,6,1500,35,1
531,2,3,750,14,0
99,2,4,1000,23,0
319,4,4,1000,18,1
661,5,6,1500,28,0
86,4,6,1500,30,1
313,14,5,1250,14,1
288,3,8,2000,50,0
229,4,9,2250,52,1
200,4,16,4000,98,1
53,2,9,2250,75,0
729,4,6,1500,35,1
331,4,9,2250,55,0
147,4,6,1500,35,1
203,2,6,1500,45,0
41,2,6,1500,47,0
89,4,2,500,9,0
165,2,2,500,11,1
383,4,6,1500,38,1
351,9,9,2250,38,0
108,11,5,1250,18,0
397,2,3,750,21,1
640,2,1,250,2,0
720,2,1,250,2,1
409,2,1,250,2,0
68,2,1,250,2,1
211,2,1,250,2,0
635,2,1,250,2,1
484,2,1,250,2,1
237,2,1,250,2,1
57,2,1,250,2,0
50,2,3,750,22,0
600,9,11,2750,49,1
310,3,5,1250,38,0
583,3,1,250,3,1
681,4,6,1500,43,0
503,2,3,750,24,0
270,12,11,2750,39,1
375,2,2,500,14,1
230,9,3,750,14,0
497,14,8,2000,26,0
188,4,2,500,13,1
7,4,11,2750,95,0
80,4,1,250,4,1
637,4,1,250,4,1
417,4,1,250,4,0
97,4,1,250,4,1
158,4,1,250,4,0
695,4,1,250,4,1
425,4,1,250,4,1
75,4,1,250,4,0
136,4,7,1750,62,0
603,4,4,1000,34,1
123,11,6,1500,28,0
422,13,3,750,14,1
273,9,9,2250,54,0
404,11,2,500,11,0
218,2,5,1250,63,1
561,7,11,2750,89,0
55,8,9,2250,64,1
486,2,2,500,22,1
443,11,16,4000,89,0
730,4,5,1250,58,0
437,14,7,1750,35,1
526,11,4,1000,27,0
371,7,9,2250,89,1
710,7,5,1250,52,0
243,11,6,1500,41,1
91,10,5,1250,38,0
672,14,2,500,14,1
666,14,2,500,14,0
10,14,2,500,14,1
342,2,2,500,33,1
682,11,3,750,23,0
629,14,8,2000,46,1
223,9,1,250,9,0
557,16,5,1250,27,1
46,14,4,1000,26,0
393,4,2,500,30,0
504,14,3,750,21,1
209,16,16,4000,77,0
442,4,2,500,31,0
312,14,8,2000,50,1
148,11,3,750,26,1
636,14,7,1750,45,1
559,15,5,1250,33,0
13,16,2,500,16,1
320,16,3,750,21,0
411,11,8,2000,72,1
625,11,1,250,11,1
592,11,1,250,11,1
552,11,1,250,11,1
675,2,3,750,75,1
700,2,3,750,77,0
363,16,4,1000,28,1
100,16,15,3750,87,0
642,16,14,3500,83,1
524,16,10,2500,62,0
639,16,3,750,23,1
125,14,3,750,26,0
22,23,19,4750,62,1
430,11,7,1750,75,1
418,20,14,3500,69,1
130,4,2,500,46,0
267,11,2,500,25,1
492,11,3,750,37,1
179,13,7,1750,76,0
566,16,6,1500,50,0
611,14,3,750,33,1
368,14,1,250,14,1
697,14,1,250,14,0
439,14,1,250,14,1
627,14,1,250,14,1
462,17,7,1750,58,1
95,14,3,750,35,0
621,16,7,1750,64,1
396,21,2,500,21,1
109,16,3,750,35,0
197,16,1,250,16,1
416,16,1,250,16,0
202,16,1,250,16,1
198,16,1,250,16,0
178,16,1,250,16,1
577,11,4,1000,74,0
118,21,6,1500,48,1
532,23,2,500,23,1
338,23,6,1500,45,1
365,14,2,500,35,1
173,16,4,1000,58,0
715,16,5,1250,71,0
2,21,2,500,26,1
387,21,3,750,35,0
738,23,8,2000,69,1
610,21,3,750,38,0
450,21,3,750,40,1
232,21,1,250,21,0
440,21,1,250,21,1
183,25,6,1500,50,0
60,21,1,250,21,1
58,21,1,250,21,0
49,23,3,750,39,1
674,21,2,500,33,1
204,14,3,750,79,0
361,23,1,250,23,1
30,23,1,250,23,1
337,23,1,250,23,0
496,23,1,250,23,1
169,23,1,250,23,0
698,23,1,250,23,1
433,16,3,750,86,0
360,21,2,500,52,1
541,39,1,250,39,0
74,72,1,250,72,1
1001,2,50,12500,98,1
1002,0,13,3250,28,1
1003,1,16,4000,35,1
1004,2,20,5000,45,1
1005,1,24,6000,77,0
1006,4,4,1000,4,1
1007,2,7,1750,14,1
1008,1,12,3000,35,0
1009,5,46,11500,98,1
1010,0,3,750,4,0
1011,2,10,2500,28,1
1012,1,13,3250,47,0
1013,2,6,1500,15,1
1014,2,5,1250,11,1
1015,2,14,3500,48,1
1016,2,15,3750,49,1
1017,2,6,1500,15,1
1018,2,3,750,4,1
1019,2,3,750,4,1
1020,4,11,2750,28,0
1021,2,6,1500,16,1
1022,2,6,1500,16,1
1023,4,14,3500,40,0
1024,4,6,1500,14,1
1025,4,8,2000,21,1
1026,1,14,3500,58,0
1027,4,10,2500,28,1
1028,4,10,2500,28,1
1029,2,16,4000,64,0
1030,2,8,2000,28,1
1031,2,12,3000,47,1
1032,4,6,1500,16,1
1033,4,7,1750,22,1
1034,2,13,3250,53,1
1035,2,5,1250,16,0
1036,2,5,1250,16,1
1037,2,5,1250,16,0
1038,4,20,5000,69,1
1039,4,9,2250,28,1
1040,2,9,2250,36,0
1041,2,2,500,2,1
1042,2,2,500,2,1
1043,2,2,500,2,0
1044,2,11,2750,46,1
1045,2,11,2750,46,1
1046,2,6,1500,22,0
1047,4,5,1250,14,1
1048,4,19,4750,69,1
1049,4,8,2000,26,1
1050,2,7,1750,28,1
1051,3,6,1500,21,0
1052,2,8,2000,35,1
1053,4,5,1250,16,1
1054,3,16,4000,74,0
1055,2,4,1000,14,1
1056,0,2,500,4,0
1057,4,7,1750,25,1
1058,1,9,2250,51,0
1059,2,4,1000,16,1
1060,2,4,1000,16,1
1061,4,17,4250,71,1
1062,2,2,500,4,0
1063,2,2,500,4,1
1064,2,2,500,4,1
1065,2,4,1000,16,1
1066,2,2,500,4,0
1067,2,2,500,4,1
1068,2,4,1000,16,1
1069,2,4,1000,16,0
1070,2,4,1000,16,1
1071,2,6,1500,28,1
1072,2,6,1500,28,0
1073,4,2,500,4,1
1074,4,2,500,4,0
1075,2,7,1750,35,1
1076,4,2,500,4,1
1077,4,2,500,4,0
1078,4,2,500,4,0
1079,12,11,2750,23,1
1080,3,17,4250,86,0
1081,4,9,2250,38,1
1082,4,8,2000,34,1
1083,4,9,2250,40,1
1084,2,5,1250,26,0
1085,6,17,4250,70,0
1086,0,8,2000,59,1
1087,2,3,750,14,1
1088,2,10,2500,64,0
1089,4,9,2250,46,1
1090,4,5,1250,23,0
1091,4,8,2000,40,1
1092,2,12,3000,82,1
1093,11,24,6000,64,0
1094,2,7,1750,46,1
1095,4,11,2750,61,0
1096,1,7,1750,57,1
1097,2,11,2750,79,1
1098,2,3,750,16,1
1099,4,5,1250,26,1
1100,2,6,1500,41,1
1101,2,5,1250,33,1
1102,2,4,1000,26,0
1103,2,5,1250,34,0
1104,4,8,2000,46,1
1105,4,8,2000,48,1
1106,2,2,500,10,1
1107,4,5,1250,28,0
1108,2,2,500,10,1
1109,2,11,2750,88,1
1110,2,3,750,19,1
1111,2,5,1250,37,1
1112,9,5,1250,19,0
1113,2,2,500,11,1
1114,2,9,2250,74,0
1115,4,3,750,16,1
1116,4,3,750,16,1
1117,4,2,500,9,1
1118,6,3,750,14,0
1119,2,2,500,11,1
1120,2,2,500,11,1
1121,2,2,500,11,0
1122,2,7,1750,58,1
1123,2,1,250,2,1
1124,2,1,250,2,0
1125,2,1,250,2,1
1126,2,1,250,2,0
1127,2,1,250,2,1
1128,2,1,250,2,0
1129,2,1,250,2,1
1130,2,1,250,2,0
1131,2,1,250,2,1
1132,2,1,250,2,1
1133,2,1,250,2,1
1134,2,1,250,2,0
1135,2,1,250,2,1
1136,2,1,250,2,1
1137,2,1,250,2,1
1138,2,1,250,2,0
1139,2,1,250,2,0
1140,2,1,250,2,1
1141,2,1,250,2,1
1142,11,10,2500,35,0
1143,11,4,1000,16,1
1144,4,6,1500,41,1
1145,2,3,750,22,0
1146,4,4,1000,26,1
1147,10,4,1000,16,0
1148,2,4,1000,35,0
1149,4,12,3000,88,1
1150,13,8,2000,26,1
1151,4,5,1250,34,0
1152,4,5,1250,35,1
1153,4,7,1750,52,0
1154,4,7,1750,52,0
1155,2,2,500,14,0
1156,2,5,1250,47,1
1157,9,8,2000,38,1
1158,4,6,1500,47,0
1159,9,9,2250,45,1
1160,4,6,1500,52,1
1161,4,7,1750,58,0
1162,6,2,500,11,1
1163,11,9,2250,38,0
1164,2,2,500,16,0
1165,2,7,1750,76,1
1166,11,6,1500,27,1
1167,11,3,750,14,1
1168,4,1,250,4,0
1169,4,1,250,4,0
1170,4,1,250,4,1
1171,4,1,250,4,1
1172,4,1,250,4,0
1173,4,1,250,4,1
1174,4,1,250,4,1
1175,4,1,250,4,0
1176,4,1,250,4,1
1177,4,1,250,4,0
1178,4,3,750,24,1
1179,4,1,250,4,1
1180,4,1,250,4,0
1181,4,1,250,4,1
1182,10,8,2000,39,1
1183,14,7,1750,26,0
1184,8,10,2500,63,0
1185,4,2,500,14,1
1186,2,4,1000,43,1
1187,8,9,2250,58,0
1188,8,8,2000,52,1
1189,11,22,5500,98,0
1190,4,3,750,25,1
1191,11,17,4250,79,1
1192,9,2,500,11,1
1193,4,5,1250,46,0
1194,7,12,3000,86,1
1195,11,2,500,11,0
1196,11,2,500,11,1
1197,2,6,1500,75,1
1198,11,8,2000,41,1
1199,11,3,750,16,1
1200,12,13,3250,59,0
1201,2,3,750,35,1
1202,16,8,2000,28,0
1203,11,7,1750,37,1
1204,4,3,750,28,0
1205,12,12,3000,58,1
1206,4,4,1000,41,0
1207,11,14,3500,73,1
1208,4,5,1250,58,0
1209,4,4,1000,43,1
1210,3,2,500,23,0
1211,11,8,2000,46,1
1212,4,7,1750,82,1
1213,13,4,1000,21,0
1214,16,7,1750,28,1
1215,7,2,500,16,1
1216,4,5,1250,58,1
1217,4,5,1250,58,0
1218,4,4,1000,46,1
1219,14,13,3250,57,1
1220,4,3,750,34,1
1221,14,18,4500,78,0
1222,11,8,2000,48,1
1223,14,16,4000,70,0
1224,14,4,1000,22,1
1225,14,5,1250,26,1
1226,8,2,500,16,0
1227,11,2,500,14,1
1228,4,2,500,23,0
1229,14,3,750,19,1
1230,16,12,3000,50,1
1231,11,4,1000,28,1
1232,11,5,1250,35,0
1233,2,4,1000,70,1
1234,14,5,1250,28,1
1235,14,2,500,14,1
1236,14,2,500,14,1
1237,14,2,500,14,0
1238,14,6,1500,34,1
1239,11,5,1250,37,1
1240,4,5,1250,74,0
1241,11,3,750,23,0
1242,11,5,1250,38,1
1243,12,9,2250,60,0
1244,9,1,250,9,1
1245,9,1,250,9,0
1246,4,2,500,29,1
1247,11,2,500,17,0
1248,14,4,1000,26,1
1249,11,9,2250,72,1
1250,11,5,1250,41,0
1251,9,5,1250,51,1
1252,14,8,2000,50,1
1253,16,7,1750,38,0
1254,14,2,500,16,0
1255,14,16,4000,98,1
1256,14,4,1000,28,1
1257,16,7,1750,39,0
1258,14,7,1750,47,1
1259,16,6,1500,35,1
1260,11,3,750,28,0
1261,11,1,250,11,1
1262,9,3,750,34,0
1263,14,4,1000,30,0
1264,23,38,9500,98,1
1265,11,1,250,11,1
1266,11,1,250,11,0
1267,11,1,250,11,1
1268,11,1,250,11,1
1269,11,1,250,11,1
1270,11,2,500,21,0
1271,11,5,1250,50,1
1272,11,2,500,21,0
1273,16,4,1000,28,1
1274,14,3,750,26,0
1275,9,2,500,26,1
1276,14,6,1500,51,1
1277,11,2,500,24,0
1278,4,3,750,71,1
1279,21,13,3250,57,1
1280,11,6,1500,71,0
1281,14,2,500,21,1
1282,23,15,3750,57,0
1283,14,4,1000,38,0
1284,11,2,500,26,1
1285,16,5,1250,40,1
1286,4,2,500,51,1
1287,14,4,1000,40,0
1288,11,3,750,40,1
1289,14,5,1250,50,0
1290,14,1,250,14,1
1291,14,1,250,14,0
1292,14,1,250,14,1
1293,14,1,250,14,0
1294,14,1,250,14,1
1295,14,7,1750,72,0
1296,14,1,250,14,1
1297,9,3,750,52,1
1298,14,7,1750,73,0
1299,11,4,1000,58,1
1300,11,4,1000,59,0
1301,4,2,500,59,1
1302,11,4,1000,61,0
1303,16,4,1000,40,1
1304,16,10,2500,89,0
1305,21,2,500,21,1
1306,21,3,750,26,0
1307,16,8,2000,76,0
1308,21,3,750,26,1
1309,18,2,500,23,0
1310,23,5,1250,33,0
1311,16,3,750,34,1
1312,14,5,1250,64,1
1313,14,3,750,41,1
1314,16,1,250,16,0
1315,16,1,250,16,0
1316,16,1,250,16,1
1317,16,1,250,16,1
1318,16,1,250,16,0
1319,16,1,250,16,1
1320,16,4,1000,45,0
1321,16,1,250,16,1
1322,16,1,250,16,0
1323,16,1,250,16,0
1324,21,2,500,23,1
1325,21,2,500,23,0
1326,14,4,1000,57,1
1327,16,5,1250,60,0
1328,23,2,500,23,0
1329,14,5,1250,74,1
1330,23,3,750,28,0
1331,16,3,750,40,1
1332,9,2,500,52,0
1333,9,2,500,52,1
1334,16,7,1750,87,1
1335,14,2,500,35,0
1336,16,7,1750,93,1
1337,21,2,500,25,0
1338,14,3,750,52,1
1339,18,8,2000,95,0
1340,16,3,750,46,1
1341,11,3,750,76,0
1342,23,12,3000,86,0
1343,21,3,750,35,1
1344,23,2,500,26,0
1345,23,2,500,26,1
1346,23,3,750,33,1
1347,23,2,500,28,0
1348,21,1,250,21,1
1349,21,1,250,21,0
1350,21,1,250,21,1
1351,21,1,250,21,0
1352,21,1,250,21,0
1353,21,1,250,21,1
1354,21,1,250,21,0
1355,21,1,250,21,1
1356,21,1,250,21,1
1357,21,1,250,21,0
1358,21,1,250,21,1
1359,21,5,1250,60,0
1360,23,4,1000,45,1
1361,21,4,1000,52,0
1362,22,1,250,22,1
1363,11,2,500,70,0
1364,23,5,1250,58,1
1365,23,3,750,40,1
1366,23,3,750,41,0
1367,14,3,750,83,1
1368,21,2,500,35,0
1369,26,5,1250,49,1
1370,23,6,1500,70,0
1371,23,1,250,23,1
1372,23,1,250,23,0
1373,23,1,250,23,1
1374,23,1,250,23,0
1375,23,1,250,23,1
1376,23,1,250,23,0
1377,23,1,250,23,1
1378,23,4,1000,53,1
1379,21,6,1500,86,0
1380,21,3,750,64,1
1381,16,2,500,70,1
1382,21,3,750,70,1
1383,23,4,1000,87,1
1384,23,3,750,89,1
1385,35,3,750,64,1
1386,74,1,250,74,1
1387,2,43,10750,86,1
1388,6,22,5500,28,1
1389,2,44,11000,98,0
1390,2,11,2750,23,0
1391,2,21,5250,52,1
1392,4,4,1000,4,1
1393,2,11,2750,26,0
1394,2,11,2750,28,0
1395,3,14,3500,35,1
1396,4,6,1500,14,0
1397,3,5,1250,12,1
1398,4,33,8250,98,1
1399,3,10,2500,33,1
1400,4,10,2500,28,1
1401,2,11,2750,40,1
1402,2,11,2750,41,1
1403,4,13,3250,39,1
1404,1,10,2500,43,1
1405,4,9,2250,28,0
1406,2,5,1250,16,1
1407,2,6,1500,22,1
1408,4,5,1250,16,1
1409,2,4,1000,14,1
1410,2,4,1000,14,0
1411,2,6,1500,26,0
1412,4,5,1250,16,1
1413,2,7,1750,32,1
1414,2,6,1500,26,1
1415,2,8,2000,38,1
1416,2,2,500,4,1
1417,2,6,1500,28,1
1418,4,2,500,4,1
1419,1,14,3500,95,0
1420,2,3,750,11,0
1421,2,12,3000,70,1
1422,4,7,1750,32,1
1423,4,4,1000,16,0
1424,2,6,1500,35,1
1425,2,3,750,14,0
1426,2,4,1000,23,0
1427,4,4,1000,18,1
1428,5,6,1500,28,0
1429,4,6,1500,30,1
1430,14,5,1250,14,1
1431,3,8,2000,50,0
1432,4,9,2250,52,1
1433,4,16,4000,98,1
1434,2,9,2250,75,0
1435,4,6,1500,35,1
1436,4,9,2250,55,0
1437,4,6,1500,35,1
1438,2,6,1500,45,0
1439,2,6,1500,47,0
1440,4,2,500,9,0
1441,2,2,500,11,1
1442,4,6,1500,38,1
1443,9,9,2250,38,0
1444,11,5,1250,18,0
1445,2,3,750,21,1
1446,2,1,250,2,0
1447,2,1,250,2,1
1448,2,1,250,2,0
1449,2,1,250,2,1
1450,2,1,250,2,0
1451,2,1,250,2,1
1452,2,1,250,2,1
1453,2,1,250,2,1
1454,2,1,250,2,0
1455,2,3,750,22,0
1456,9,11,2750,49,1
1457,3,5,1250,38,0
1458,3,1,250,3,1
1459,4,6,1500,43,0
1460,2,3,750,24,0
1461,12,11,2750,39,1
1462,2,2,500,14,1
1463,9,3,750,14,0
1464,14,8,2000,26,0
1465,4,2,500,13,1
1466,4,11,2750,95,0
1467,4,1,250,4,1
1468,4,1,250,4,1
1469,4,1,250,4,0
1470,4,1,250,4,1
1471,4,1,250,4,0
1472,4,1,250,4,1
1473,4,1,250,4,1
1474,4,1,250,4,0
1475,4,7,1750,62,0
1476,4,4,1000,34,1
1477,11,6,1500,28,0
1478,13,3,750,14,1
1479,9,9,2250,54,0
1480,11,2,500,11,0
1481,2,5,1250,63,1
1482,7,11,2750,89,0
1483,8,9,2250,64,1
1484,2,2,500,22,1
1485,11,16,4000,89,0
1486,4,5,1250,58,0
1487,14,7,1750,35,1
1488,11,4,1000,27,0
1489,7,9,2250,89,1
1490,7,5,1250,52,0
1491,11,6,1500,41,1
